Neuron,Hobert_class,Hobert_subclass,class_code,subclass_code,pair_code,LR_code,Common_ID,dauer0_ID,dauer1_364_ID,JSH_ID,N2U_ID,dataset1_ID,dataset2_ID,dataset3_ID,dataset4_ID,dataset5_ID,dataset6_ID,dataset8_ID,
ADAL,ADA,ADA,1,1,1,1,1,351,73,147,132,146,179,80,171,101,184,133,
ADAR,ADA,ADA,1,1,1,2,2,423,74,148,133,145,176,64,199,9,87,169,
ADEL,ADE,ADE,2,2,3,1,3,425,75,145,134,142,188,130,170,24,23,80,
ADER,ADE,ADE,2,2,3,2,4,283,76,146,135,137,189,131,198,67,22,184,
ADFL,ADF,ADF,3,3,5,1,5,352,48,68,76,82,16,91,162,160,147,70,
ADFR,ADF,ADF,3,3,5,2,6,387,40,69,75,93,18,108,178,190,121,112,
ADLL,ADL,ADL,4,4,7,1,7,288,36,4,9,112,68,161,47,198,163,151,
ADLR,ADL,ADL,4,4,7,2,8,329,37,5,10,102,74,172,146,77,166,42,
AFDL,AFD,AFD,5,5,9,1,9,286,35,70,78,81,192,100,122,110,154,84,
AFDR,AFD,AFD,5,5,9,2,10,342,49,71,77,98,180,186,14,128,126,51,
AIAL,AIA,AIA,6,6,11,1,11,,17,20,32,14,42,174,7,155,27,116,
AIAR,AIA,AIA,6,6,11,2,12,,18,21,31,108,21,179,130,138,103,148,
AIBL,AIB,AIB,7,7,13,1,13,138,16,23,34,104,30,99,159,115,152,76,
AIBR,AIB,AIB,7,7,13,2,14,402,15,136,33,26,174,146,22,38,53,187,
AIML,AIM,AIM,8,8,15,1,15,350,26,137,136,134,58,72,40,153,150,4,
AIMR,AIM,AIM,8,8,15,2,16,349,25,164,137,125,29,121,134,133,108,66,
AINL,AIN,AIN,9,9,17,1,17,375,23,163,138,141,73,156,175,139,125,10,
AINR,AIN,AIN,9,9,17,2,18,321,24,30,139,133,158,155,31,140,79,170,
AIYL,AIY,AIY,10,10,19,1,19,360,20,31,37,138,3,75,155,141,205,127,
AIYR,AIY,AIY,10,10,19,2,20,341,19,32,38,20,2,177,9,33,128,45,
AIZL,AIZ,AIZ,11,11,21,1,21,296,22,33,36,140,5,87,172,84,204,25,
AIZR,AIZ,AIZ,11,11,21,2,22,148,21,165,35,126,6,111,60,137,177,111,
ALA,ALA,ALA,12,12,23,3,23,126,83,119,140,179,100,170,27,79,165,131,
ALML,ALM,ALM,13,13,24,1,24,52,29,120,126,153,72,166,200,97,144,123,
ALMR,ALM,ALM,13,13,24,2,25,53,27,166,127,152,157,49,185,96,75,211,
ALNL,ALN,ALN,14,14,26,1,26,293,30,167,141,,,,11,59,73,179,
ALNR,ALN,ALN,14,14,26,2,27,307,28,168,142,,,,188,66,77,14,
AQR,AQR,AQR,15,15,28,3,28,151,63,74,87,,,,192,170,132,150,
ASEL,ASE,ASE,16,16,29,1,29,"331, 431",34,75,80,117,181,169,126,150,207,78,
ASER,ASE,ASE,16,16,29,2,30,"432, 322",54,72,79,111,93,1,46,125,89,140,
ASGL,ASG,ASG,17,17,31,1,31,,39,73,83,114,59,90,163,149,155,27,
ASGR,ASG,ASG,17,17,31,2,32,,51,6,84,110,12,112,152,124,109,193,
ASHL,ASH,ASH,18,18,33,1,33,354,43,7,5,105,35,86,110,143,146,60,
ASHR,ASH,ASH,18,18,33,2,34,355,50,26,6,87,175,187,83,40,102,113,
ASIL,ASI,ASI,19,19,35,1,35,363,32,27,28,43,172,97,57,205,179,53,
ASIR,ASI,ASI,19,19,35,2,36,364,33,66,27,182,26,104,148,103,124,172,
ASJL,ASJ,ASJ,20,20,37,1,37,359,45,67,86,115,56,95,138,148,151,182,
ASJR,ASJ,ASJ,20,20,37,2,38,358,52,8,85,151,85,175,10,122,107,6,
ASKL,ASK,ASK,21,21,39,1,39,357,31,9,3,88,87,98,26,154,26,109,
ASKR,ASK,ASK,21,21,39,2,40,356,44,169,4,100,193,43,133,201,104,104,
