Hobert_class,class_code,Hobert_subclass,subclass_code
ADA,1,ADA,1
ADE,2,ADE,2
ADF,3,ADF,3
ADL,4,ADL,4
AFD,5,AFD,5
AIA,6,AIA,6
AIB,7,AIB,7
AIM,8,AIM,8
AIN,9,AIN,9
AIY,10,AIY,10
AIZ,11,AIZ,11
ALA,12,ALA,12
ALM,13,ALM,13
ALN,14,ALN,14
AQR,15,AQR,15
ASE,16,ASE,16
ASG,17,ASG,17
ASH,18,ASH,18
ASI,19,ASI,19
ASJ,20,ASJ,20
ASK,21,ASK,21
AUA,22,AUA,22
AVA,23,AVA,23
AVB,24,AVB,24
AVD,25,AVD,25
AVE,26,AVE,26
AVF,27,AVF,27
AVH,28,AVH,28
AVJ,29,AVJ,29
AVK,30,AVK,30
AVL,31,AVL,31
AVM,32,AVM,32
AWA,33,AWA,33
AWB,34,AWB,34
AWC,35,AWC,35
BAG,36,BAG,36
BDU,37,BDU,37
CEP,38,CEP,38
DVA,39,DVA,39
DVC,40,DVC,40
FLP,41,FLP,41
HSN,42,HSN,42
IL1,43,IL1D,43
IL2,44,IL1la,44
OLL,45,IL1V,45
OLQ,46,IL2D,46
PLN,47,IL2la,47
PVC,48,IL2V,48
PVN,49,OLL,49
PVP,50,OLQD,50
PVQ,51,OLQV,51
PVR,52,PLN,52
PVT,53,PVC,53
RIA,54,PVN,54
RIB,55,PVP,55
RIC,56,PVQ,56
RID,57,PVR,57
RIF,58,PVT,58
RIG,59,RIA,59
RIH,60,RIB,60
RIM,61,RIC,61
RIP,62,RID,62
RIR,63,RIF,63
RIS,64,RIG,64
RIV,65,RIH,65
RMD,66,RIM,66
RME,67,RIP,67
RMF,68,RIR,68
RMG,69,RIS,69
RMH,70,RIV,70
SAA,71,RMDD,71
SDQ,72,RMDla,72
SIA,73,RMDV,73
SIB,74,RMEDV,74
SMB,75,RMEla,75
SMD,76,RMF,76
URA,77,RMG,77
URB,78,RMH,78
URX,79,SAAD,79
URY,80,SAAV,80
BWM,81,SDQ,81
CEPsh,82,SIAD,82
GLR,83,SIAV,83
,,SIBD,84
,,SIBV,85
,,SMBD,86
,,SMBV,87
,,SMDD,88
,,SMDV,89
,,URAD,90
,,URAV,91
,,URB,92
,,URX,93
,,URYD,94
,,URYV,95
,,BWM01D,96
,,BWM02D,97
,,BWM03D,98
,,BWM04D,99
,,BWM05D,100
,,BWM06D,101
,,BWM07D,102
,,BWM08D,103
,,BWM01V,104
,,BWM02V,105
,,BWM03V,106
,,BWM04V,107
,,BWM05V,108
,,BWM06V,109
,,BWM07V,110
,,BWM08V,111
,,CEPshD,112
,,CEPshV,113
,,GLRD,114
,,GLRla,115
,,GLRV,116
